sportCode,gsr,orgId,cohortYear,sportDesc,conferenceName,fgrReportLink,gsrReportLink,conferenceId,orgName,state,fgr
,,,,,,,,,air force,,
MFB,58,5,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/5.pdf,https://web1.ncaa.org/app_data/gsr2013/5.pdf,875,University of Akron,OH,52
MFB,73,8,2006,Football,Southeastern Conference,https://web1.ncaa.org/app_data/inst2013/8.pdf,https://web1.ncaa.org/app_data/gsr2013/8.pdf,911,University of Alabama,AL,57
MFB,60,9,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/9.pdf,https://web1.ncaa.org/app_data/gsr2013/9.pdf,24312,University of Alabama at Birmingham,AL,55
MFB,68,27,2006,Football,Southern Conference,https://web1.ncaa.org/app_data/inst2013/27.pdf,https://web1.ncaa.org/app_data/gsr2013/27.pdf,912,Appalachian State University,NC,56
MFB,61,29,2006,Football,Pac-12 Conference,https://web1.ncaa.org/app_data/inst2013/29.pdf,https://web1.ncaa.org/app_data/gsr2013/29.pdf,905,University of Arizona,AZ,59
MFB,67,28,2006,Football,Pac-12 Conference,https://web1.ncaa.org/app_data/inst2013/28.pdf,https://web1.ncaa.org/app_data/gsr2013/28.pdf,905,Arizona State University,AZ,52
MFB,68,30,2006,Football,Sun Belt Conference,https://web1.ncaa.org/app_data/inst2013/30.pdf,https://web1.ncaa.org/app_data/gsr2013/30.pdf,818,Arkansas State University,AR,60
MFB,68,30,2006,Football,Sun Belt Conference,https://web1.ncaa.org/app_data/inst2013/30.pdf,https://web1.ncaa.org/app_data/gsr2013/30.pdf,818,Arkansas State University,AR,60
MFB,48,716,2006,Football,Sun Belt Conference,https://web1.ncaa.org/app_data/inst2013/716.pdf,https://web1.ncaa.org/app_data/gsr2013/716.pdf,818,Troy University,AL,43
MFB,70,37,2006,Football,Southeastern Conference,https://web1.ncaa.org/app_data/inst2013/37.pdf,https://web1.ncaa.org/app_data/gsr2013/37.pdf,911,Auburn University,AL,61
MFB,60,47,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/47.pdf,https://web1.ncaa.org/app_data/gsr2013/47.pdf,875,Ball State University,IN,54
MFB,67,51,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/51.pdf,https://web1.ncaa.org/app_data/gsr2013/51.pdf,25354,Baylor University,TX,48
MFB,91,66,2006,Football,Mountain West Conference,https://web1.ncaa.org/app_data/inst2013/66.pdf,https://web1.ncaa.org/app_data/gsr2013/66.pdf,5486,Boise State University,ID,67
MFB,94,67,2006,Football,Atlantic Coast Conference,https://web1.ncaa.org/app_data/inst2013/67.pdf,https://web1.ncaa.org/app_data/gsr2013/67.pdf,821,Boston College,MA,86
MFB,70,71,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/71.pdf,https://web1.ncaa.org/app_data/gsr2013/71.pdf,875,Bowling Green State University,OH,55
MFB,57,77,2006,Football,Independent,https://web1.ncaa.org/app_data/inst2013/77.pdf,https://web1.ncaa.org/app_data/gsr2013/77.pdf,0,Brigham Young University,UT,42
MFB,60,47,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/47.pdf,https://web1.ncaa.org/app_data/gsr2013/47.pdf,875,Ball State University,IN,54
MFB,57,17,2006,Football,Southwestern Athletic Conf.,https://web1.ncaa.org/app_data/inst2013/17.pdf,https://web1.ncaa.org/app_data/gsr2013/17.pdf,916,Alcorn State University,MS,39
MFB,83,128,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/128.pdf,https://web1.ncaa.org/app_data/gsr2013/128.pdf,24312,University of Central Florida,FL,58
MFB,51,129,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/129.pdf,https://web1.ncaa.org/app_data/gsr2013/129.pdf,875,Central Michigan University,MI,37
,,,,,,,,,charlotte,,
