Total Allocated,School,% Allocated,Conf,Total Revenue,Rk,Total Expenses
0.0,Texas,0.0,Big 12,223879781.0,1.0,204234897.0
0.0,Texas A&M,0.0,SEC,212748002.0,2.0,169012456.0
0.0,Ohio State,0.0,Big Ten,210548239.0,3.0,220572956.0
261773.0,Michigan,13.0,Big Ten,197820410.0,4.0,190952175.0
3508850.0,Georgia,202.0,SEC,174042482.0,5.0,143299554.0
0.0,Penn State,0.0,Big Ten,164529326.0,6.0,160369805.0
2654551.0,Alabama,162.0,SEC,164090889.0,7.0,185317681.0
0.0,Oklahoma,0.0,Big 12,163126695.0,8.0,157958270.0
2261773.0,Florida,142.0,SEC,159706937.0,9.0,141829002.0
0.0,LSU,0.0,SEC,157787782.0,10.0,148977880.0
3029000.0,Wisconsin,192.0,Big Ten,157660107.0,11.0,154621828.0
15607019.0,Florida State,1022.0,ACC,152757883.0,12.0,150147316.0
5261252.0,Auburn,345.0,SEC,152455416.0,13.0,139260711.0
650000.0,Iowa,43.0,Big Ten,151976026.0,14.0,146282275.0
0.0,Kentucky,0.0,SEC,150435842.0,15.0,144886246.0
0.0,Tennessee,0.0,SEC,143765903.0,16.0,142976173.0
0.0,South Carolina,0.0,SEC,140695659.0,17.0,136879732.0
885690.0,Michigan State,63.0,Big Ten,140010865.0,18.0,135655740.0
5923817.0,Louisville,423.0,ACC,139955824.0,19.0,151167940.0
0.0,Arkansas,0.0,SEC,137497788.0,20.0,129620361.0
0.0,Nebraska,0.0,Big Ten,136233460.0,21.0,124148206.0
5602440.0,Clemson,419.0,ACC,133861515.0,22.0,131978513.0
4151964.0,Washington,310.0,Pac-12,133792677.0,23.0,131317636.0
7972732.0,Minnesota,611.0,Big Ten,130456454.0,24.0,129450256.0
2954505.0,Indiana,231.0,Big Ten,127832628.0,25.0,114822135.0
452924.0,Oregon,36.0,Pac-12,127508498.0,26.0,128943543.0
19356134.0,Arizona State,1590.0,Pac-12,121698840.0,27.0,118404377.0
1746274.0,Kansas,144.0,Big 12,121553307.0,28.0,108881800.0
8652815.0,Illinois,730.0,Big Ten,118565501.0,29.0,120168951.0
0.0,Mississippi State,0.0,SEC,112273809.0,30.0,98832615.0
0.0,Purdue,0.0,Big Ten,110844907.0,31.0,102026477.0
18429801.0,Virginia,1672.0,ACC,110219117.0,32.0,112621238.0
25363715.0,Maryland,2331.0,Big Ten,108796303.0,33.0,108785924.0
3095396.0,Mississippi,285.0,SEC,108442428.0,34.0,113013400.0
2577213.0,UCLA,238.0,Pac-12,108412967.0,35.0,127339042.0
9163374.0,North Carolina,850.0,ACC,107812619.0,36.0,110809706.0
1015000.0,Missouri,95.0,SEC,106610244.0,37.0,108398447.0
21886167.0,Arizona,2083.0,Pac-12,105091389.0,38.0,100565835.0
29859395.0,Rutgers,2892.0,Big Ten,103251280.0,39.0,103167344.0
