Wpctx,W,Offensive coordinators,First season,L,Wx,Special Teams coordinators,Head coach,Conference,Defensive coordinators,School,Wpct,Lx
.690,35,Mike Denbrock,2017,20,29,Brian Mason,Luke Fickell,The American,Marcus Freeman,Cincinnati Bearcats,0.636,13
.333,5,Donnie Kirkpatrick,2019,10,5,Roy Tesh,Mike Houston,The American,Blake Harrell,East Carolina Pirates,0.33299999999999996,10
.385,66,Shannon Dawson,2019,49,5,Mark Scott,Dana Holgorsen,The American,Doug Belk / Joe Cauthen,Houston Cougars,0.574,8
.333,1,Kevin Johns,2020,2,1,Pete Lembo,Ryan Silverfield,The American,Mike MacIntyre,Memphis Tigers,0.33299999999999996,2
.617,100,Ivin Jasper,2007,62,100,Danny O'Rourke,Ken Niumatalolo,The American,Brian Newberry,Navy Midshipmen,0.617,62
.633,60,Garrett Riley,2018,56,19,Chris Brasfield,Sonny Dykes,The American,Kevin Kane,SMU Mustangs,0.517,11
.250,1,Charlie Weis Jr.,2020,3,1,Daniel Da Prato,Jeff Scott,The American,Glenn Spencer,South Florida Bulls,0.25,3
.571,60,Mike Uremovich,2019,36,8,Brett Diersen,Rod Carey,The American,Jeff Knowles,Temple Owls,0.625,6
.463,42,Will Hall,2016,36,25,Willie Fritz,Willie Fritz,The American,Jack Curtis,Tulane Green Wave,0.5379999999999999,29
.406,26,Philip Montgomery,2015,38,26,Calvin Lowry,Philip Montgomery,The American,Joseph Gillespie,Tulsa Golden Hurricane,0.406,38
.828,24,Alex Golesh / Anthony Tucker,2018,5,24,Nick Toth,Josh Heupel,The American,Randy Shannon,UCF Knights,0.828,5
.750,3,Frank Cignetti Jr.,2020,1,3,Matt Thurin,Jeff Hafley,ACC,Tem Lukabu,Boston College Eagles,0.75,1
.812,134,Tony Elliott,2008,31,134,Danny Pearman,Dabo Swinney,ACC,Brent Venables,Clemson Tigers,0.812,31
.468,117,Zac Roper,2008,112,73,Kirk Benedict,David Cutcliffe,ACC,Ben Albert / Matt Guerrieri,Duke Blue Devils,0.511,83
.250,39,Kenny Dillingham,2020,18,1,John Papuchis,Mike Norvell,ACC,Adam Fuller,Florida State Seminoles,0.684,3
.313,20,Dave Patenaude,2019,21,5,Jeff Popovich / Chris Wiesehan,Geoff Collins,ACC,Nathan Burton / Andrew Thacker,Georgia Tech Yellow Jackets,0.488,11
.529,56,Dwayne Ledford,2019,24,9,Stu Holt,Scott Satterfield,ACC,Bryan Brown / Cort Dennison,Louisville Cardinals,0.7,8
.529,9,Rhett Lashlee,2019,8,9,Jonathan Patke,Manny Diaz,ACC,Blake Baker / Ephraim Banda,Miami Hurricanes,0.529,8
.625,254,Phil Longo,2019[N 1],128,10,Jovan Dewitt,Mack Brown,ACC,Jay Bateman / Tommy Thigpen,North Carolina Tar Heels,0.665,6
.538,73,Tim Beck / George McDonald,2013,47,50,Todd Goebbel,Dave Doeren,ACC,Tony Gibson,NC State Wolfpack,0.608,43
.557,39,Mark Whipple,2015,31,39,Andre Powell,Pat Narduzzi,ACC,Randy Bates,Pittsburgh Panthers,0.557,31
.453,42,Sterlin Gilbert,2016,38,24,Justin Lustig,Dino Babers,ACC,Tony White,Syracuse Orange,0.525,29
.473,125,Robert Anae,2016,72,26,Ricky Brumfield,Bronco Mendenhall,ACC,Nick Howell / Kelly Poppinga,Virginia Cavaliers,0.635,29
.625,61,Brad Cornelsen,2016,44,35,James Shibest,Justin Fuente,ACC,Justin Hamilton,Virginia Tech Hokies,0.581,21
.468,69,Warren Ruggiero,2014,73,37,Wayne Lineburg,Dave Clawson,ACC,Lyle Hemphill,Wake Forest Demon Deacons,0.486,42
.500,1,Larry Fedora,2020,1,1,Matt Powledge,Dave Aranda,Big 12,Ron Roberts,Baylor Bears,0.5,1
.527,64,Tom Manning,2016,41,29,Vacant,Matt Campbell,Big 12,Jon Heacock,Iowa State Cyclones,0.61,26
.200,145,Brent Dearmon,2019,67,3,Jonathan Wallace,Les Miles,Big 12,DJ Eliot,Kansas Jayhawks,0.684,12
.647,11,Courtney Messingham,2019,6,11,Vacant,Chris Klieman,Big 12,Joe Klanderman,Kansas State Wildcats,0.647,6
.826,38,Bill Bedenbaugh / Cale Gundy,2017,8,38,Vacant,Lincoln Riley,Big 12,Alex Grinch,Oklahoma Sooners,0.826,8
.673,132,Kasey Dunn,2005,64,132,John Wozniak,Mike Gundy,Big 12,Jim Knowles,Oklahoma State Cowboys,0.6729999999999999,64
.706,173,Sonny Cumbie,2000,72,173,Vacant,Gary Patterson,Big 12,Chad Glasgow,TCU Horned Frogs,0.706,72
.614,49,Mike Yurcich,2017,21,27,Jay Boulware,Tom Herman,Big 12,Chris Ash,Texas Longhorns,0.7,17
.313,49,David Yost,2019,45,5,Mark Tommerdahl,Matt Wells,Big 12,Keith Patterson,Texas Tech Red Raiders,0.521,11
.467,42,Gerad Parker,2019,24,7,Travis Trickett,Neal Brown,Big 12,By Committee,West Virginia Mountaineers,0.636,8
.306,15,Rod Smith,2016,34,15,Bob Ligashesky,Lovie Smith,Big Ten,Lovie Smith,Illinois Fighting Illini,0.306,34
.472,17,Grant Heard / Nick Sheridan,2017,19,17,Kasey Teegardin,Tom Allen,Big Ten,Kane Wommack,Indiana Hoosiers,0.47200000000000003,19
.609,162,Brian Ferentz,1999,104,162,LeVar Woods,Kirk Ferentz,Big Ten,Phil Parker,Iowa Hawkeyes,0.609,104
.250,6,Scottie Montgomery / Joker Phillips,2019,40,3,George Helow,Mike Locksley,Big Ten,Jon Hoke,Maryland Terrapins,0.13,9
.723,76,Josh Gattis,2015,39,47,Jay Harbaugh,Jim Harbaugh,Big Ten,Don Brown,Michigan Wolverines,0.6609999999999999,18
–,5,Jay Johnson,2020,7,0,Ross Els,Mel Tucker,Big Ten,Scottie Hazelton,Michigan State Spartans,0.41700000000000004,0
.605,53,Mike Sanford Jr. / Matt Simon,2017,37,23,Rob Wenger,P. J. Fleck,Big Ten,Joe Rossi / Joe Harasymiak,Minnesota Golden Gophers,0.589,15
.375,28,Matt Lubick,2018,22,9,Vacant,Scott Frost,Big Ten,Erik Chinander,Nebraska Cornhuskers,0.56,15
.559,99,Mike Bajakian,2006,78,99,Jeff Genyk,Pat Fitzgerald,Big Ten,Mike Hankwitz,Northwestern Wildcats,0.5589999999999999,78
.941,16,Kevin Wilson,2019,1,16,Matt Barnes,Ryan Day,Big Ten,Kerry Coombs / Greg Mattison,Ohio State Buckeyes,0.941,1
.709,80,Kirk Ciarrocca,2014,38,56,Joe Lorig,James Franklin,Big Ten,Tim Banks / Brent Pry,Penn State Nittany Lions,0.6779999999999999,23
.447,46,Brian Brohm / JaMarcus Shepard,2017,31,17,Marty Biagi,Jeff Brohm,Big Ten,Bob Diaco / Anthony Poindexter,Purdue Boilermakers,0.597,21
–,68,Sean Gleeson,2020[N 2],67,0,Adam Scheier,Greg Schiano,Big Ten,Robb Smith,Rutgers Scarlet Knights,0.504,0
.765,71,Joe Rudolph,2015,35,52,Chris Haering,Paul Chryst,Big Ten,Jim Leonhard,Wisconsin Badgers,0.67,16
.500,8,Mark Carney,2019,8,8,Max Thurmond,Will Healy,C-USA,Brandon Cooper / Marcus West,Charlotte 49ers,0.5,8
1.000,57,Drew Mehringer / Clint Trickett,2020,62,1,Jaron Fairman,Willie Taggart,C-USA,Jim Leavitt,Florida Atlantic Owls,0.479,0
.561,86,Rich Skrosky,2017,61,23,D.J. McCarthy,Butch Davis,C-USA,Jeff Copp / Jerod Kruse,Florida International Panthers,0.585,18
.615,113,Joe Sloan,2013,85,59,Dennis Smith,Skip Holtz,C-USA,David Blackwell,Louisiana Tech Bulldogs,0.5710000000000001,37
.614,81,Tim Cramsey,2010,51,81,Kyle Segler,Doc Holliday,C-USA,Brad Lambert / J.C. Price,Marshall Thundering Herd,0.614,51
.505,92,Tony Franklin,2006,90,92,Mike Polly,Rick Stockstill,C-USA,Scott Shafer,Middle Tennessee Blue Raiders,0.505,90
.500,28,Mike Bloesch/ Tommy Mainord,2016,28,28,Mike Ekeler,Seth Littrell,C-USA,Clint Bowen,North Texas Mean Green,0.5,28
–,0,Kirk Campbell,2020,0,0,Kevin Smith,Ricky Rahne,C-USA,Blake Seiler,Old Dominion Monarchs,nan,0
.208,5,Jerry Mack,2018,19,5,Drew Svoboda,Mike Bloomgren,C-USA,Brian Smith,Rice Owls,0.20800000000000002,19
.250,1,Matt Kubik / Scotty Walden,2020,3,1,Vacant,Scotty Walden,C-USA,Tony Pecoraro,Southern Miss Golden Eagles,0.25,3
.649,37,Bryant Vincent,2014[N 3],20,37,Heath Thomas,Bill Clark,C-USA,David Reeves,UAB Blazers,0.649,20
.172,35,Mike Canales,2018,63,5,Joe Robinson,Dana Dimel,C-USA,Mike Cox,UTEP Miners,0.35700000000000004,24
